COAD-LAML 增强实验记录 (SyNG-BTS 2.6)
格式: case_id-标准化-batch-off_aug-模型-data_type-状态|时间戳|耗时|完成比例|已完成/总数
COAD_5-2-raw-batch20-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 22:11:18|0:03:38|16.5%|119/720
COAD_5-2-TC-batch1-offaug_none-CVAE1-50-miRNA-success|2026-03-30 22:12:06|0:00:48|16.7%|120/720
COAD_5-2-TC-batch1-offaug_none-CVAE1-100-miRNA-success|2026-03-30 22:12:28|0:00:21|16.8%|121/720
COAD_5-2-TC-batch1-offaug_none-CVAE1-200-miRNA-success|2026-03-30 22:12:49|0:00:20|16.9%|122/720
COAD_5-2-TC-batch1-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 22:15:50|0:03:01|17.1%|123/720
COAD_5-2-TC-batch1-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 22:18:33|0:02:42|17.2%|124/720
COAD_5-2-TC-batch1-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 22:21:31|0:02:58|17.4%|125/720
COAD_5-2-TC-batch2-offaug_none-CVAE1-50-miRNA-success|2026-03-30 22:21:53|0:00:21|17.5%|126/720
COAD_5-2-TC-batch2-offaug_none-CVAE1-100-miRNA-success|2026-03-30 22:22:13|0:00:20|17.6%|127/720
COAD_5-2-TC-batch2-offaug_none-CVAE1-200-miRNA-success|2026-03-30 22:22:43|0:00:30|17.8%|128/720
COAD_5-2-TC-batch2-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 22:26:09|0:03:26|17.9%|129/720
COAD_5-2-TC-batch2-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 22:29:32|0:03:22|18.1%|130/720
COAD_5-2-TC-batch2-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 22:32:46|0:03:14|18.2%|131/720
COAD_5-2-TC-batch3-offaug_none-CVAE1-50-miRNA-success|2026-03-30 22:33:08|0:00:21|18.3%|132/720
COAD_5-2-TC-batch3-offaug_none-CVAE1-100-miRNA-success|2026-03-30 22:33:27|0:00:19|18.5%|133/720
COAD_5-2-TC-batch3-offaug_none-CVAE1-200-miRNA-success|2026-03-30 22:33:48|0:00:20|18.6%|134/720
COAD_5-2-TC-batch3-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 22:37:31|0:03:43|18.8%|135/720
COAD_5-2-TC-batch3-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 22:40:54|0:03:22|18.9%|136/720
COAD_5-2-TC-batch3-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 22:44:15|0:03:20|19.0%|137/720
COAD_5-2-TC-batch4-offaug_none-CVAE1-50-miRNA-success|2026-03-30 22:44:35|0:00:20|19.2%|138/720
COAD_5-2-TC-batch4-offaug_none-CVAE1-100-miRNA-success|2026-03-30 22:44:51|0:00:16|19.3%|139/720
COAD_5-2-TC-batch4-offaug_none-CVAE1-200-miRNA-success|2026-03-30 22:45:11|0:00:19|19.4%|140/720
COAD_5-2-TC-batch4-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 22:48:40|0:03:29|19.6%|141/720
COAD_5-2-TC-batch4-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 22:51:42|0:03:01|19.7%|142/720
COAD_5-2-TC-batch4-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 22:55:27|0:03:44|19.9%|143/720
COAD_5-2-TC-batch5-offaug_none-CVAE1-50-miRNA-success|2026-03-30 22:55:52|0:00:24|20.0%|144/720
COAD_5-2-TC-batch5-offaug_none-CVAE1-100-miRNA-success|2026-03-30 22:56:14|0:00:22|20.1%|145/720
COAD_5-2-TC-batch5-offaug_none-CVAE1-200-miRNA-success|2026-03-30 22:56:31|0:00:16|20.3%|146/720
COAD_5-2-TC-batch5-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 22:59:52|0:03:20|20.4%|147/720
COAD_5-2-TC-batch5-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 23:02:57|0:03:04|20.6%|148/720
COAD_5-2-TC-batch5-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 23:06:52|0:03:55|20.7%|149/720
COAD_5-2-TC-batch6-offaug_none-CVAE1-50-miRNA-success|2026-03-30 23:07:10|0:00:17|20.8%|150/720
