COAD 增强实验记录 (SyNG-BTS 2.6)
格式: COAD_5-2-标准化-batch-模型-data_type-状态|时间戳|耗时|完成比例|已完成/总数
COAD_5-2-TC-batch3-CVAE1-1-miRNA-success|2026-02-23 19:54:11|0:00:18|40.6%|146/360
COAD_5-2-TC-batch3-CVAE1-1-RNA-success|2026-02-23 19:54:29|0:00:17|40.8%|147/360
COAD_5-2-TC-batch3-CVAE1-10-miRNA-success|2026-02-23 19:54:49|0:00:19|41.1%|148/360
COAD_5-2-TC-batch3-CVAE1-10-RNA-success|2026-02-23 19:55:09|0:00:20|41.4%|149/360
COAD_5-2-TC-batch3-CVAE1-50-miRNA-success|2026-02-23 19:55:31|0:00:22|41.7%|150/360
COAD_5-2-TC-batch3-CVAE1-50-RNA-success|2026-02-23 19:55:56|0:00:24|41.9%|151/360
COAD_5-2-TC-batch3-CVAE1-100-miRNA-success|2026-02-23 19:56:17|0:00:21|42.2%|152/360
COAD_5-2-TC-batch3-CVAE1-100-RNA-success|2026-02-23 19:56:48|0:00:30|42.5%|153/360
COAD_5-2-TC-batch3-CVAE1-200-miRNA-success|2026-02-23 19:57:09|0:00:21|42.8%|154/360
COAD_5-2-TC-batch3-CVAE1-200-RNA-success|2026-02-23 19:57:35|0:00:25|43.1%|155/360
COAD_5-2-TC-batch4-CVAE10-1-miRNA-success|2026-02-23 19:57:53|0:00:17|43.3%|156/360
COAD_5-2-TC-batch4-CVAE10-1-RNA-success|2026-02-23 19:58:14|0:00:20|43.6%|157/360
COAD_5-2-TC-batch4-CVAE1-1-miRNA-success|2026-02-23 19:59:03|0:00:49|43.9%|158/360
COAD_5-2-TC-batch4-CVAE1-1-RNA-success|2026-02-23 19:59:25|0:00:22|44.2%|159/360
COAD_5-2-TC-batch4-CVAE1-10-miRNA-success|2026-02-23 19:59:47|0:00:21|44.4%|160/360
COAD_5-2-TC-batch4-CVAE1-10-RNA-success|2026-02-23 20:00:13|0:00:26|44.7%|161/360
COAD_5-2-TC-batch4-CVAE1-50-miRNA-success|2026-02-23 20:00:35|0:00:21|45.0%|162/360
COAD_5-2-TC-batch4-CVAE1-50-RNA-success|2026-02-23 20:01:01|0:00:26|45.3%|163/360
COAD_5-2-TC-batch4-CVAE1-100-miRNA-success|2026-02-23 20:01:18|0:00:17|45.6%|164/360
COAD_5-2-TC-batch4-CVAE1-100-RNA-success|2026-02-23 20:01:48|0:00:29|45.8%|165/360
COAD_5-2-TC-batch4-CVAE1-200-miRNA-success|2026-02-23 20:02:09|0:00:21|46.1%|166/360
COAD_5-2-TC-batch4-CVAE1-200-RNA-success|2026-02-23 20:02:32|0:00:22|46.4%|167/360
COAD_5-2-TC-batch5-CVAE10-1-miRNA-success|2026-02-23 20:02:52|0:00:20|46.7%|168/360
COAD_5-2-TC-batch5-CVAE10-1-RNA-success|2026-02-23 20:03:15|0:00:22|46.9%|169/360
COAD_5-2-TC-batch5-CVAE1-1-miRNA-success|2026-02-23 20:03:36|0:00:20|47.2%|170/360
COAD_5-2-TC-batch5-CVAE1-1-RNA-success|2026-02-23 20:03:56|0:00:20|47.5%|171/360
COAD_5-2-TC-batch5-CVAE1-10-miRNA-success|2026-02-23 20:04:19|0:00:22|47.8%|172/360
COAD_5-2-TC-batch5-CVAE1-10-RNA-success|2026-02-23 20:04:42|0:00:23|48.1%|173/360
COAD_5-2-TC-batch5-CVAE1-50-miRNA-success|2026-02-23 20:05:08|0:00:26|48.3%|174/360
COAD_5-2-TC-batch5-CVAE1-50-RNA-success|2026-02-23 20:05:33|0:00:24|48.6%|175/360
COAD_5-2-TC-batch5-CVAE1-100-miRNA-success|2026-02-23 20:05:57|0:00:24|48.9%|176/360
COAD_5-2-TC-batch5-CVAE1-100-RNA-success|2026-02-23 20:06:30|0:00:32|49.2%|177/360
COAD_5-2-TC-batch5-CVAE1-200-miRNA-success|2026-02-23 20:06:48|0:00:18|49.4%|178/360
COAD_5-2-TC-batch5-CVAE1-200-RNA-success|2026-02-23 20:07:46|0:00:58|49.7%|179/360
COAD_5-2-TC-batch6-CVAE10-1-miRNA-success|2026-02-23 20:08:04|0:00:17|50.0%|180/360
COAD_5-2-TC-batch6-CVAE10-1-RNA-success|2026-02-23 20:08:23|0:00:19|50.3%|181/360
COAD_5-2-TC-batch6-CVAE1-1-miRNA-success|2026-02-23 20:08:40|0:00:16|50.6%|182/360
COAD_5-2-TC-batch6-CVAE1-1-RNA-success|2026-02-23 20:09:00|0:00:20|50.8%|183/360
COAD_5-2-TC-batch6-CVAE1-10-miRNA-success|2026-02-23 20:09:19|0:00:19|51.1%|184/360
COAD_5-2-TC-batch6-CVAE1-10-RNA-success|2026-02-23 20:09:41|0:00:21|51.4%|185/360
COAD_5-2-TC-batch6-CVAE1-50-miRNA-success|2026-02-23 20:09:59|0:00:18|51.7%|186/360
COAD_5-2-TC-batch6-CVAE1-50-RNA-success|2026-02-23 20:10:21|0:00:21|51.9%|187/360
COAD_5-2-TC-batch6-CVAE1-100-miRNA-success|2026-02-23 20:10:42|0:00:21|52.2%|188/360
COAD_5-2-TC-batch6-CVAE1-100-RNA-success|2026-02-23 20:11:16|0:00:33|52.5%|189/360
COAD_5-2-TC-batch6-CVAE1-200-miRNA-success|2026-02-23 20:11:35|0:00:19|52.8%|190/360
COAD_5-2-TC-batch6-CVAE1-200-RNA-success|2026-02-23 20:11:59|0:00:23|53.1%|191/360
COAD_5-2-TC-batch7-CVAE10-1-miRNA-success|2026-02-23 20:12:18|0:00:18|53.3%|192/360
COAD_5-2-TC-batch7-CVAE10-1-RNA-success|2026-02-23 20:12:37|0:00:19|53.6%|193/360
COAD_5-2-TC-batch7-CVAE1-1-miRNA-success|2026-02-23 20:12:56|0:00:18|53.9%|194/360
COAD_5-2-TC-batch7-CVAE1-1-RNA-success|2026-02-23 20:13:15|0:00:19|54.2%|195/360
COAD_5-2-TC-batch7-CVAE1-10-miRNA-success|2026-02-23 20:13:34|0:00:18|54.4%|196/360
COAD_5-2-TC-batch7-CVAE1-10-RNA-success|2026-02-23 20:13:54|0:00:20|54.7%|197/360
COAD_5-2-TC-batch7-CVAE1-50-miRNA-success|2026-02-23 20:14:16|0:00:22|55.0%|198/360
COAD_5-2-TC-batch7-CVAE1-50-RNA-success|2026-02-23 20:14:40|0:00:24|55.3%|199/360
COAD_5-2-TC-batch7-CVAE1-100-miRNA-success|2026-02-23 20:15:05|0:00:24|55.6%|200/360
COAD_5-2-TC-batch7-CVAE1-100-RNA-success|2026-02-23 20:15:34|0:00:28|55.8%|201/360
COAD_5-2-TC-batch7-CVAE1-200-miRNA-success|2026-02-23 20:16:31|0:00:57|56.1%|202/360
COAD_5-2-TC-batch7-CVAE1-200-RNA-success|2026-02-23 20:16:56|0:00:24|56.4%|203/360
COAD_5-2-TC-batch8-CVAE10-1-miRNA-success|2026-02-23 20:17:16|0:00:20|56.7%|204/360
COAD_5-2-TC-batch8-CVAE10-1-RNA-success|2026-02-23 20:17:37|0:00:21|56.9%|205/360
COAD_5-2-TC-batch8-CVAE1-1-miRNA-success|2026-02-23 20:17:57|0:00:19|57.2%|206/360
COAD_5-2-TC-batch8-CVAE1-1-RNA-success|2026-02-23 20:18:16|0:00:19|57.5%|207/360
COAD_5-2-TC-batch8-CVAE1-10-miRNA-success|2026-02-23 20:18:37|0:00:20|57.8%|208/360
COAD_5-2-TC-batch8-CVAE1-10-RNA-success|2026-02-23 20:19:01|0:00:23|58.1%|209/360
COAD_5-2-TC-batch8-CVAE1-50-miRNA-success|2026-02-23 20:19:23|0:00:22|58.3%|210/360
COAD_5-2-TC-batch8-CVAE1-50-RNA-success|2026-02-23 20:19:50|0:00:27|58.6%|211/360
COAD_5-2-TC-batch8-CVAE1-100-miRNA-success|2026-02-23 20:20:18|0:00:28|58.9%|212/360
COAD_5-2-TC-batch8-CVAE1-100-RNA-success|2026-02-23 20:20:49|0:00:30|59.2%|213/360
COAD_5-2-TC-batch8-CVAE1-200-miRNA-success|2026-02-23 20:21:09|0:00:20|59.4%|214/360
COAD_5-2-TC-batch8-CVAE1-200-RNA-success|2026-02-23 20:21:34|0:00:24|59.7%|215/360
COAD_5-2-TC-batch9-CVAE10-1-miRNA-success|2026-02-23 20:21:54|0:00:19|60.0%|216/360
